"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"09/28/2019","46","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/29/2019","50","","Near Road","11-001-0051","AQS"
"09/30/2019","26","","Near Road","11-001-0051","AQS"
"10/01/2019","37","","Near Road","11-001-0051","AQS"
"10/02/2019","59","","King Greenleaf Rec Center","11-001-0053","AQS"
"10/03/2019","32","","Near Road","11-001-0051","AQS"
"10/04/2019","20","","RIVER TERRACE","11-001-0041","AQS"
"10/05/2019","15","","Near Road","11-001-0051","AQS"
"10/06/2019","24","","Near Road","11-001-0051","AQS"
"10/07/2019","20","","Near Road","11-001-0051","AQS"
"10/08/2019","14","","King Greenleaf Rec Center","11-001-0053","AQS"
"10/09/2019","19","","Near Road","11-001-0051","AQS"
"10/10/2019","15","","Near Road","11-001-0051","AQS"
"10/11/2019","15","","Near Road","11-001-0051","AQS"
"10/12/2019","28","","RIVER TERRACE","11-001-0041","AQS"
"10/13/2019","18","","Near Road","11-001-0051","AQS"
"10/14/2019","38","","RIVER TERRACE","11-001-0041","AQS"
"10/15/2019","36","","Near Road","11-001-0051","AQS"
"10/16/2019","30","","Near Road","11-001-0051","AQS"
"10/17/2019","4","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/18/2019","15","","King Greenleaf Rec Center","11-001-0053","AQS"
"10/19/2019","29","","Near Road","11-001-0051","AQS"
"10/20/2019","25","","Near Road","11-001-0051","AQS"
"10/21/2019","30","","RIVER TERRACE","11-001-0041","AQS"
"10/22/2019","25","","Near Road","11-001-0051","AQS"
"10/23/2019","20","","Near Road","11-001-0051","AQS"
"10/24/2019","36","","King Greenleaf Rec Center","11-001-0053","AQS"
"10/25/2019","48","","RIVER TERRACE","11-001-0041","AQS"
"10/26/2019","51","","Near Road","11-001-0051","AQS"
"10/27/2019","20","","King Greenleaf Rec Center","11-001-0053","AQS"
"10/28/2019","23","","Near Road","11-001-0051","AQS"
"10/29/2019","23","","Near Road","11-001-0051","AQS"
"10/30/2019","38","","Near Road","11-001-0051","AQS"
"10/31/2019","28","","Near Road","11-001-0051","AQS"
"11/01/2019","9","","RIVER TERRACE","11-001-0041","AQS"
"11/02/2019","35","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/03/2019","31","","Near Road","11-001-0051","AQS"
"11/04/2019","47","","Near Road","11-001-0051","AQS"
"11/05/2019","53","","Near Road","11-001-0051","AQS"
"11/06/2019","28","","Near Road","11-001-0051","AQS"
"11/07/2019","31","","King Greenleaf Rec Center","11-001-0053","AQS"
"11/08/2019","23","","Near Road","11-001-0051","AQS"
"11/09/2019","23","","Near Road","11-001-0051","AQS"
